1;JOAO;SILVA;15/05/1993;10/03/2021;30;3000,49;
2;MARIA;SANTOS;22/09/1995;05/07/2020;28;2800;
3;CARLOS;OLIVEIRA;08/11/1988;18/01/2019;34;3500;
4;ANA;COSTA;30/04/1997;20/08/2022;26;1320;
5;PAULO;PEREIRA;12/08/1991;05/02/2021;32;3200;
6;LUIZA;RODRIGUES;25/03/1994;15/06/2020;29;2900;
7;MARCOS;FERREIRA;07/06/1990;12/12/2018;33;1320;
8;MARIANA;GOMES;18/10/1996;30/01/2023;26;2700;
9;LUCAS;ALMEIDA;28/02/1992;08/05/2022;31;3100;
10;CAMILA;MACHADO;14/07/1998;25/11/2019;25;2500;
11;FELIPE;SOUSA;04/12/1989;15/04/2020;33;3400;
12;AMANDA;ROCHA;01/09/1995;10/07/2022;28;1320;
13;HOMER;SIMPSON;01/08/1975;02/08/1975;48;2345,67;
14;LARISSA;FERNANDES;22/06/1996;05/12/2020;27;2700;
15;RODRIGO;MARTINS;11/10/1991;28/02/2023;31;3200;
16;MARCELA;PEREIRA;05/08/1999;07/10/2023;24;1452;
17;JACK;SPARROW;15/07/1877;01/12/1905;146;9876,54;
18;ISABELA;PINTO;03/03/1990;21/08/2017;33;9240;
19;NARCISA;SILVA;04/11/1987;31/01/2021;35;3960;
20;PEDRO;SOARES;16/02/1989;17/09/2021;34;3960;
21;LENICE;SANTOS;21/12/1986;13/10/2022;36;1320;
22;CLOVIS;NUNES;06/07/2000;12/09/2023;23;1320;
23;EVA;FERREIRA;06/10/1974;03/05/2023;49;1320;
24;SAMUEL;LOPES;14/01/1994;07/02/2018;29;7920;
25;ROBSON;PEREIRA;05/04/1980;29/12/2017;43;7920;
26;OTAVIO;MESQUITA;23/05/1992;17/03/2021;31;3960;
27;FABIO;ANTUNES;25/01/2001;20/04/2019;22;6600;
28;ROBERTO;MENDES;28/07/1993;10/10/2022;30;1320;
29;MIGUEL;CARVALHO;19/04/1989;31/05/2023;34;1320;
30;ELIVELTON;DIAS;24/04/1984;25/10/2017;39;7920;
31;JOAO;SILVA;29/03/1991;21/03/2022;32;2640;
32;MICHAEL;TEIXEIRA;28/10/1995;19/08/2019;27;6600;
33;JEFFERSON;FELIX;27/02/1977;01/10/2019;46;6600;
34;JAMES;BATISTA;14/11/1979;30/08/2023;43;1320;
35;CARLOS;FERREIRA;07/11/1977;14/01/2018;45;7920;
36;CARLOS;JUTINO;22/10/1999;04/10/2020;23;5280;
37;JULIANA;SILVEIRA;04/08/1984;15/03/2020;39;5280;
38;BIANCA;SCOLARI;17/01/2003;11/12/2019;20;5280;
39;MIGUEL;SANCHES;13/02/1995;02/04/2023;28;1320;
40;JULIO;SOUZA;01/01/1996;17/09/2019;27;6600;
41;CARLA;FREITAS;30/04/1992;19/01/2018;31;7920;
42;ALBERTO;GUEDES;20/04/1997;01/11/2018;26;6600;
43;ROBERTO;SILVA;18/11/1996;22/03/2020;26;5280;
44;JORGE;FERREIRA;20/12/2003;01/07/2018;19;7920;
45;EVERTOM;RIBEIRO;18/06/1976;16/05/2023;47;1320;
46;RAIMUNDO;SANTOS;12/08/1981;25/01/2021;42;3960;
47;NILSON;AGUIAR;27/09/1976;19/03/2019;47;6600;
48;GABRIEL;BENEDITO;02/01/1999;29/08/2022;24;2640;
49;ALEXANDRE;TEIXEIRA;11/05/1990;14/11/2022;33;1320;
50;LUIZA;MOURA;08/11/1978;04/03/2020;44;5280;
51;JUTINO;SANTOS;14/02/1996;22/07/2018;27;7920;
52;JAQUELINE;FAGUNDES;23/05/2000;10/12/2022;23;1320;
53;JULIO;PEREIRA;25/01/2003;20/04/2019;20;6600;
54;CARLOS;MENDES;02/08/1997;09/12/2018;26;6600;
55;CLEBER;MACHADO;12/01/1994;25/02/2019;29;6600;
56;LEANDRA;OLIVEIRA;09/02/1990;03/06/2022;33;2640;
57;EVANGELINE;POLICARPO;17/06/1993;29/06/2022;30;2640;
58;PEDRO;MACHADO;25/02/1997;12/08/2023;26;1320;
59;GERALDO;SAMPAIO;11/04/1978;04/02/2018;45;7920;
60;TEREZA;CAMPOS;24/10/1977;15/10/2018;45;6600;
61;THIAGO;GOMES;10/10/1998;07/10/2023;24;1320;
62;GABRIELA;CARMO;24/05/1996;06/01/2019;27;6600;
63;OTAVIO;CAPRIO;05/01/1978;09/11/2018;45;6600;
64;SAMUEL;CAVALCANTE;18/09/1999;10/04/2021;24;3960;
65;EDUARDO;CRUZ;26/05/1980;01/06/2019;43;6600;
